Revenue,LongtermdebtthEUR,ShareholdersfundsthEUR,ExportrevenuethEUR,TotalassetsthEUR,EBIT,ProfitLoss,InterestpaidthEUR,Exportshare,ROE,ROA,Indebt,Taxes
15572.662,2366.528,10186.523,842.265,24024.796,105.59,17.593,300.054,.05408613,.010365657,.0043950425,.09850356,-212.05701
17395.841,2221.583,10245.95,1065.05,24844.359,74.623,14.465,264.309,.061224405,.0072831702,.0030036194,.089420013,-204.151
20035.59,2001.933,10462.804,1224.814,25403.366,57.182,16.218,213.427,.061131917,.0054652654,.0022509615,.078805819,-172.463
18726.366,1609.816,10417.144,1132.366,23328.077,86.532,54.479,159.428,.060469072,.0083066914,.0037093498,.069007657,-127.375
16888.617,1457.778,10604.211,1184.941,23274.393,-24.605,30.23,110.132,.07016211,-.0023203047,-.0010571704,.062634416,-164.967
16450.941,1860.5,10705.095,1165.792,25163.999,-31.862,5.62,89.723,.070864759,-.0029763398,-.0012661739,.073934987,-127.205
19054.859,1744.741,10757.047,1455.671,26739.974,-70.09699999999999,5.506,77.997,.076393694,-.0065163793,-.0026214311,.065248415,-153.60001
15954.298,2058.806,10776.045,1402.121,27785.699,-60.321,14.01,85.233,.087883592,-.0055976938,-.0021709369,.07409589,-159.564
14016.739,15464.431,11133.249,1055.691,27967.348,-4.653,19.854,91.624,.075316451,-.00041793729,-.00016637259,.55294591,-116.131
12859.803,1621.003,14474.312,7902.665,41108.716,178.89,119.588,296.585,.6145246,.012359137,.0043516317,.039432101,-237.283
17949.483,1343.416,15435.544,12113.187,37381.623,712.2569999999999,466.284,239.855,.67484879,.046143953,.019053668,.035937872,6.118
14543.682,2462.138,17275.234,8428.343999999999,36336.594,668.631,321.562,289.146,.57951927,.0387046,.018401036,.067759186,57.923
10791.846,1016.66,19405.99,6143.594,35634.319,145.147,2022.611,186.632,.5692811,.0074794949,.0040732361,.028530361,-2064.0959
12247.79,11740.279,19565.431,5856.272,37764.031,375.402,164.935,150.377,.47814929,.019187003,.0099407295,.31088522,60.09
9903.494000000001,0,19525.025,5712.563,42869.101,-396.049,55.995,151.988,.576823,-.020284174,-.0092385653,0,-604.03198
12772.944,0,38444.383,6976.886,53049.04,329.841,94.81100000000001,31.358,.54622382,.0085796928,.0062176618,0,203.672
16397.564,.45,39666.413,11270.57,66283.31600000001,2167.928,759.462,33.432,.68733197,.054653995,.032706995,6.7890387e-06,1375.0341
14000.043,0,54738.167,6651.692,73940.594,304.947,52.576,13.875,.47511941,.0055710124,.0041242163,0,238.496
127171.13437,6983.65961,7644.01872,56230,51328.2661,2310.66269,353.37945,1789.63563,.4421601,.30228376,.045017354,.13605875,167.64761
145257.70494,8674.94665,6516.34116,61474,52219.13396,991.46585,-1127.67756,1965.46351,.42320648,.15215069,.018986639,.16612582,153.6799
145901.22554,6224.62326,7770.71804,67679,50403.48214,4189.64686,1551.57427,2199.40052,.46386862,.53915828,.083122171,.1234959,438.67206
144231.60097,6957,7924.68132,60647.70885,54746.94339,6094.8213,1813.39172,1963.50283,.42048836,.76909357,.11132715,.12707558,2317.9268
150699.77111,3315.99999999999,7924.68132,73528,49660.41585,7052.83891,3562.18531,1519.32118,.48791051,.88998389,.14202134,.066773504,1971.3324
147944.063499,10927.18914,13409.66342,6898.5,66827.52766000001,1327.69907,129.30921,1034.14359,.046629108,.099010617,.019867547,.16351329,164.24628
154187.69901,14575.59194,13720.82565,64442,67865.73918,1662.58016,311.16223,1074.06346,.41794515,.12117202,.024498077,.21477099,277.35446
6950.644,1130.716,3959.203,18.271,17335.271,170.176,45.993,87.32599999999999,.0026286773,.042982388,.009816749,.065226324,36.856998
8227.066999999999,1282.702,5856.843,5.725,18535.379,334.958,161.246,166.706,.00069587375,.05719088,.018071279,.0692029,7.006
8154.655,1250.362,5980.593,1230.391,18705.846,450.333,82.877,122.621,.15088204,.075299054,.024074452,.066843383,244.83501
10757.491,5136.222,6249.655,0,19611.721,130.584,12.194,124.365,0,.020894593,.006658467,.26189554,-5.9749999
9564.142,6521,6674.462,1998.34,21663.393,238.762,183.572,114.069,.20894085,.035772473,.01102145,.30101472,-58.879002
12232.095,8928.341,7492.112,.75,26877.905,190.023,89.14,112.406,.000061314109,.025363075,.0070698592,.33218142,-11.523
13281.296,2152.775,7676.122,3899.978,28991.719,371.306,184.097,126.849,.2936444,.048371561,.012807312,.074254826,60.360001
12570.932,17711.025,8223.892,4496.651,27694.452,295.745,203.554,133.024,.35770229,.035961684,.010678854,.63951528,-40.833
13768.386,12257.271,8491.429,3928.556,30901.825,166.869,6.753,149.625,.28533164,.019651463,.0053999722,.39665201,10.491
8175.52,4775.955,5916.614,259.528,11343.961,-32.002,.607,19.622,.031744525,-.005408837,-.0028210604,.421013,-52.230999
9955.996999999999,5527.914,5919.152,0,12214.66,-93.752,2.293,10.246,0,-.015838755,-.0076753669,.45256388,-106.291
8706.415000000001,0,5884.496,0,11664.377,-33.605,1.324,1.9,0,-.0057107694,-.002880994,0,-36.828999
13255.836,267.736,5955.75,0,15616.947,-99.467,1.172,.6909999999999999,0,-.016701004,-.0063691707,.017143941,-101.33
11727.298,270.19,6017.538,73.288,15003.497,-24.846,3.596,6.123,.006249351,-.0041289311,-.0016560139,.018008469,-34.564999
13578.335,269.019,6245.803,152.152,15858.663,34.688,.48,6.019,.011205497,.0055538095,.0021873219,.016963536,28.188999
5479.699,160.337,1350.345,0,6442.901,11.494,5.154,22.965,0,.008511899,.001783979,.024885839,-16.625
5703.501,4770.627,1440.523,0,6748.458,-36.864,6.089,21.443,0,-.025590705,-.0054625813,.70692104,-64.396004
6433.846,319.899,1443.64,0,7501.056,8.404999999999999,3.117,20.098,0,.0058220886,.0011205089,.042647194,-14.81
6977.892,282.829,1549.999,0,8040.994,-19.112,3.256,20.688,0,-.012330331,-.0023768207,.035173386,-43.056
8696.496999999999,270.845,1709.544,0,10018.437,-67.38200000000001,2.37,18.672,0,-.039415188,-.0067257998,.027034657,-88.424004
7443.071,348.975,1746.186,0,8741.127,-41.591,.642,16.581,0,-.023818195,-.0047580823,.03992334,-58.813999
7630.699,448.746,1748.755,0,8618.941999999999,-22.342,2.569,16.676,0,-.012775946,-.0025921976,.052065089,-41.587002
9321.388999999999,442.699,1748.236,0,10119.582,10.087,3.331,15.246,0,.0057698158,.00099678035,.043746766,-8.4899998
13521.364,370.973,2138.929,0,13071.155,353.815,379.715,11.166,0,.1654169,.02706838,.028381042,-37.066002
4582.538,1194.393,1068.22,0,5742.121,42.65,0,47.193,0,.039926231,.007427569,.20800555,-4.5430002
4946.643,567.26,1681.925,0,6913.337,38.982,450,41.694,0,.023177015,.0056386665,.082052991,-452.71201
3753.72,928.3150000000001,1682.203,0,6064.326,36.023,0,36.786,0,.021414181,.0059401491,.15307802,-.76300001
5947.076,856.228,1689.226,0,7267.585,16.677,0,33.095,0,.0098725688,.0022947099,.11781465,-16.417999
8903.776,495.878,1859.393,0,8609.319,24.977,0,26.304,0,.013432878,.0029011585,.05759782,-1.327
10252.156,526.696,2210.487,0,10633.644,27.723,0,33.247,0,.01254158,.0026071025,.049531091,-5.5240002
12072.523,446.535,2336.03,0,10489.871,23.288,0,27.42,0,.0099690501,.0022200465,.042568207,-4.132
13486.926,430.884,2398.9,0,12979.699,19.598,0,22.991,0,.0081695775,.0015098964,.033196762,-3.3929999
13477.36234,17101.51391,5746.28721,1666,27841.27048,869.41357,255.59995,467.33003,.12361469,.15130006,.03122751,.61425048,146.4836
8514.103999999999,619.731,5036.937,1193.899,11910.548,-78.682,53.316,52.616,.14022604,-.015621002,-.0066060773,.052032113,-184.614
10734.396,735.997,5297.211,7.434,13544.576,-2.658,4.816,58.61,.00069254014,-.00050177349,-.00019624092,.054338872,-66.084
9548.889999999999,1043.462,5267.534,0,13548.284,97.22799999999999,9.099,58.098,0,.018457973,.0071764071,.077018023,30.031
11782.917,0,6044.151,0,14866.439,83.925,41.749,71.791,0,.013885325,.0056452658,0,-29.615
10047.877,1310.974,6293.537,0,14390.74,-134.949,34.576,68.43600000000001,0,-.021442473,-.0093774889,.091098443,-237.961
12602.598,0,6363.949,1402.212,16115.592,6.341,12.435,60.253,.11126372,.00099639385,.00039346988,0,-66.347
9518.349,1225.302,6214.66,1217.517,13300.144,-159.325,-219.394,55.029,.12791263,-.025636962,-.011979193,.092126973,5.04
12710.42,971.763,9719.955,0,18653.833,6.53,0,45.77,0,.00067181379,.0003500621,.052094549,-39.240002
13408.887,710.662,9704.526,0,21212.434,-6.599,.644,32.643,0,-.00067999202,-.00031109113,.033502143,-39.886002
11939.496,146.372,10309.708,0,14597.911,799.944,950.614,7.79,0,.077591337,.054798525,.010026914,-158.46001
11360.53,521.819,10640.956,0,14472.932,903.1079999999999,1113.47,6.09,0,.084870949,.062399797,.036054824,-216.452
11259.186,345.135,10839.002,0,14135.532,894.37,990.997,16.542,0,.082514055,.063271053,.02441613,-113.169
10939.335,194.223,11207.919,0,14058.704,971.588,1316.402,10.865,0,.086687639,.069109358,.013815142,-355.67899
11866.366,323.286,11486.711,0,15477.574,1112.081,1267.844,9.34,0,.096814573,.071851119,.020887382,-165.103
12068.579,286.215,11697.489,0,15691.478,1176.009,1319.629,7.91,0,.10053517,.074945711,.018240156,-151.53
12561.563,288.511,11809.243,0,15356.379,1261.094,1284.386,4.876,0,.10678872,.082121834,.018787697,-28.167999
12828.065,290.826,11821.083,0,15392.855,1131.503,1168.423,4.203,0,.095719062,.073508322,.018893572,-41.123001
13390.935,293.16,12253.708,0,15866.428,1439.361,1457.445,3.351,0,.1174633,.090717398,.018476749,-21.434999
5795.336,5276.848,4740.154,0,10541.734,-126.819,-134.455,37.496,0,-.026754195,-.012030184,.50056738,-29.860001
8568.663,7364.324,4972.891,0,13328.71,385.169,.404,37.176,0,.07745374,.028897695,.55251586,347.58899
7361.02,7263.749,4964.362,0,12644.184,48.269,.444,68.00700000000001,0,.0097231027,.0038174863,.5744735,-20.181999
9254.596,612.168,5396.159,0,13705.294,316.001,.26,47.544,0,.058560356,.023056857,.044666536,268.19699
10123.078,648.768,5523.185,0,15285.915,423.239,127.026,34.14,0,.076629519,.02768817,.04244221,262.073
12349.015,986.73,5873.326,0,18527.433,326.248,149.944,31.274,0,.055547401,.017608915,.053257782,145.03
11611.37,1801.894,6148.912,0,17892.077,82.917,.161,36.295,0,.013484824,.0046342858,.10070904,46.460999
11997.352,1283.12,6446.439,0,17830.655,-30.157,.131,30.119,0,-.0046780868,-.0016913008,.071961462,-60.407001
13313.185,1003.068,6685.35,0,19744.022,156.671,120,25.725,0,.023434974,.0079351105,.050803632,10.946
9342.674999999999,1196.296,7368.992,8.364000000000001,19486.906,-143.201,-230.345,131.631,.00089524681,-.019432915,-.0073485756,.061389737,-44.487
10862.869,1194.296,7299.184,17.788,21585.748,112.681,24.612,118.354,.0016375048,.015437479,.0052201571,.055327989,-30.285
14450.814,2998.283,7465.652,48.033,22910.709,249.798,202.47,112.587,.0033238959,.033459637,.010903111,.1308682,-65.259003
8620.896000000001,972.215,6522.924,22.13,17091.261,-494.3,-487.886,41.987,.0025670186,-.075778902,-.028921213,.056883749,-48.401001
13521.291,713.569,6367.956,23.786,19883.361,-97.86199999999999,-154.36,35.57,.0017591516,-.015367882,-.0049218037,.035887744,20.927999
13194.794,421.992,6492.045,2.58,22288.497,85.752,125.225,31.328,.00019553165,.01320878,.0038473657,.018933175,-70.801003
